day	installs
1	15182
2	13147
3	12873
4	11967
5	9663
6	9253
7	9340
8	8581
9	8274
10	7466
11	8001
12	7669
13	7076
14	7406
15	6908
16	6104
17	6602
18	5841
19	6681
20	6153
21	6035
22	5748
23	6670
24	5960
25	5809
26	5839
27	6279
28	6197
29	6226
30	6244
31	7112
32	5852
33	5816
34	5684
35	6419
36	6697
37	6098
38	5759
39	5791
40	6554
41	6626
42	6553
43	5976
44	6452
45	6422
46	6501
47	6856
48	6560
49	6817
50	6540
51	6680
52	6880
53	5866
54	6464
55	6418
56	6363
57	6575
58	7489
59	6339
60	7286
61	5990
62	6694
63	6972
64	7214
65	7306
66	7377
67	6836
68	6809
69	7499
70	7005
71	6492
72	6594
73	6730
74	7469
75	7321
76	7625
77	7096
78	7419
79	7683
80	7245
81	7658
82	7129
83	7309
84	7329
85	6952
86	7824
87	7375
88	7646
89	7910
90	7923
