day,dau,nuts_earned,nuts_spent,nuts_balance,scrap_earned,scrap_spent,scrap_balance,keycards_consumed,bp_revenue_usd
1,15182,5159350,1605496,3553853,9134503,2277300,6857203,45546,126.52
2,18613,6325318,1968325,7910846,11198822,2791950,15264075,55839,155.11
3,22561,7666980,2385826,13192000,13574202,3384150,25454127,67683,188.01
4,25386,8627009,2684569,19134440,15273910,3807900,36920137,76158,211.55
5,26137,8882224,2763988,25252676,15725762,3920550,48725348,78411,217.81
6,27669,9402848,2925997,31729528,16647515,4150350,61222513,83007,230.58
7,29368,9980225,3105666,38604087,17669747,4405200,74487060,88104,244.73
8,30103,10230003,3183392,45650698,18111972,4515450,88083582,90309,250.86
9,30938,10513764,3271693,52892768,18614363,4640700,102057245,92814,257.82
10,31105,10570516,3289354,60173930,18714842,4665750,116106337,93315,259.21
11,32276,10968461,3413187,67729204,19419393,4841400,130684330,96828,268.97
12,32752,11130221,3463524,75395901,19705787,4912800,145477317,98256,272.93
13,32797,11145514,3468283,83073132,19732862,4919550,160290628,98391,273.31
14,33513,11388834,3544000,90917967,20163655,5026950,175427333,100539,279.27
15,33505,11386116,3543154,98760929,20158842,5025750,190560425,100515,279.21
16,32982,11208383,3487846,106481465,19844170,4947300,205457295,98946,274.85
17,33458,11370144,3538184,114313425,20130563,5018700,220569158,100374,278.82
18,32866,11168962,3475580,122006808,19774377,4929900,235413635,98598,273.88
19,33597,11417380,3552883,129871306,20214195,5039550,250588280,100791,279.98
20,33280,11309653,3519360,137661599,20023467,4992000,265619747,99840,277.33
21,33169,11271932,3507622,145425909,19956682,4975350,280601078,99507,276.41
22,32853,11164544,3474205,153116249,19766555,4927950,295439683,98559,273.77
23,33649,11435052,3558382,160992919,20245482,5047350,310637815,100947,280.41
24,33157,11267854,3506353,168754420,19949462,4973550,325613727,99471,276.31
25,32950,11197508,3484462,176467466,19824917,4942500,340496143,98850,274.58
26,32875,11172021,3476531,184162956,19779792,4931250,355344685,98625,273.96
27,33233,11293681,3514390,191942247,19995188,4984950,370354923,99699,276.94
28,33235,11294361,3514601,199722007,19996392,4985250,385366065,99705,276.96
29,33311,11320188,3522638,207519557,20042118,4996650,400411533,99933,277.59
30,33380,11343637,3529935,215333258,20083633,5007000,415488167,100140,278.17
31,34304,11657643,3627648,223363253,20639573,5145600,430982140,102912,285.87
32,33434,11361988,3535646,231189595,20116123,5015100,446083163,100302,278.62
