day,dau,payers,daily_revenue_usd,cumulative_revenue_usd,arpdau_usd
1,15182,455,683.19,683.19,0.045
2,19220,577,864.9,1548.09,0.045
3,23542,706,1059.39,2607.48,0.045
4,26621,799,1197.94,3805.42,0.045
5,27505,825,1237.72,5043.15,0.045
6,29014,870,1305.63,6348.78,0.045
7,30646,919,1379.07,7727.85,0.045
8,31299,939,1408.46,9136.3,0.045
9,32099,963,1444.46,10580.76,0.045
10,32279,968,1452.56,12033.32,0.045
11,33485,1005,1506.82,13540.14,0.045
12,34063,1022,1532.84,15072.97,0.045
13,34217,1027,1539.76,16612.74,0.045
14,35037,1051,1576.66,18189.4,0.045
15,35165,1055,1582.43,19771.83,0.045
16,34767,1043,1564.52,21336.34,0.045
17,35346,1060,1590.57,22926.91,0.045
18,34887,1047,1569.92,24496.83,0.045
19,35727,1072,1607.72,26104.54,0.045
20,35563,1067,1600.33,27704.88,0.045
21,35580,1067,1601.1,29305.98,0.045
22,35389,1062,1592.5,30898.48,0.045
23,36299,1089,1633.46,32531.94,0.045
24,35954,1079,1617.93,34149.87,0.045
25,35858,1076,1613.61,35763.48,0.045
26,35879,1076,1614.55,37378.03,0.045
27,36337,1090,1635.16,39013.2,0.045
28,36452,1094,1640.34,40653.54,0.045
29,36629,1099,1648.3,42301.84,0.045
30,36791,1104,1655.6,43957.44,0.045
31,37806,1134,1701.27,45658.71,0.045
32,37051,1112,1667.3,47326.0,0.045
33,36984,1110,1664.28,48990.28,0.045
34,36833,1105,1657.48,50647.77,0.045
35,37524,1126,1688.58,52336.35,0.045
36,38079,1142,1713.55,54049.9,0.045
37,37859,1136,1703.66,55753.56,0.045
38,37640,1129,1693.8,57447.36,0.045
39,37671,1130,1695.19,59142.55,0.045
40,38461,1154,1730.74,60873.3,0.045
41,38875,1166,1749.38,62622.68,0.045
42,39147,1174,1761.61,64384.29,0.045
43,38868,1166,1749.06,66133.35,0.045
44,39400,1182,1773.0,67906.35,0.045
45,39624,1189,1783.08,69689.43,0.045
46,39927,1198,1796.72,71486.14,0.045
47,40523,1216,1823.54,73309.68,0.045
48,40601,1218,1827.04,75136.72,0.045
49,41088,1233,1848.96,76985.68,0.045
50,41136,1234,1851.12,78836.8,0.045
51,41464,1244,1865.88,80702.68,0.045
52,41900,1257,1885.5,82588.18,0.045
53,41190,1236,1853.55,84441.74,0.045
54,41667,1250,1875.02,86316.75,0.045
55,41768,1253,1879.56,88196.31,0.045
56,41838,1255,1882.71,90079.02,0.045
57,42155,1265,1896.98,91976.0,0.045
58,43258,1298,1946.61,93922.61,0.045
59,42655,1280,1919.48,95842.08,0.045
60,43644,1309,1963.98,97806.06,0.045
61,42768,1283,1924.56,99730.62,0.045
62,43339,1300,1950.25,101680.88,0.045
63,43788,1314,1970.46,103651.34,0.045
64,44301,1329,1993.54,105644.88,0.045
65,44741,1342,2013.34,107658.23,0.045
66,45178,1355,2033.01,109691.24,0.045
67,44999,1350,2024.96,111716.19,0.045
68,45093,1353,2029.18,113745.38,0.045
69,45882,1376,2064.69,115810.07,0.045
70,45761,1373,2059.24,117869.31,0.045
71,45395,1362,2042.78,119912.08,0.045
72,45438,1363,2044.71,121956.8,0.045
73,45576,1367,2050.92,124007.72,0.045
74,46385,1392,2087.32,126095.04,0.045
75,46604,1398,2097.18,128192.22,0.045
76,47184,1416,2123.28,130315.5,0.045
77,47037,1411,2116.66,132432.16,0.045
78,47498,1425,2137.41,134569.58,0.045
79,48018,1441,2160.81,136730.38,0.045
80,47920,1438,2156.4,138886.78,0.045
81,48466,1454,2180.97,141067.76,0.045
82,48234,1447,2170.53,143238.28,0.045
83,48479,1454,2181.55,145419.84,0.045
84,48642,1459,2188.89,147608.73,0.045
85,48409,1452,2178.4,149787.14,0.045
86,49268,1478,2217.06,152004.2,0.045
87,49170,1475,2212.65,154216.84,0.045
88,49582,1487,2231.19,156448.04,0.045
89,50093,1503,2254.18,158702.22,0.045
90,50438,1513,2269.71,160971.93,0.045
